title,company,description,location,onsite_remote,employment_type,seniority_level,job_function,industries,salary,posted_date,link
Data Analyst,Agility Partners,"About this RoleAgility Partners is working with an industry-leading financial organization, partnering to help identify a talented Data Engineer. The person in this role will be creating scalable and reusable solutions for gathering, collecting, storing, processing, and serving data on both small and very large scales. These solutions can include on-premises and cloud-based data platforms, and solutions within several enticing platforms including ETL, BI, data-warehousing, messaging, and more! This person should be a Data Engineer who has a Data/Business Analysis background. Benefits and PerksWork with in a collaborative team environment where ideas and creativity are welcomed! Family and Work Life balance are important to this organization and valued for the employees. Working for an organization that focuses on company culture, inclusion and diversity Paid Holidays, 50% medical coverage for you and your entire family, short/long term disability and life insurance options 401(k) Paid Holidays Life Insurance Disability coverage  The Ideal CandidateMust have Tools and Skills:Ability to write complex SQL queriesExperience in working with LOB/Stakeholders to understand requirementsGood Communication skills.Data Engineering experienceBusiness mindedGood To have:IBM DataStageSnowflake",Cincinnati Metropolitan Area,hybrid,Contract,Mid-Senior level,Information Technology,IT Services and IT Consulting,,10/11/2022,https://www.linkedin.com/jobs/view/data-analyst-at-agility-partners-3355065705?refId=x4SraviXXEq66S%2FaFgArkg%3D%3D&trackingId=HW2VpG5ytlHwSCkWS639XQ%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,TriNet,"Job DescriptionTriNet is a leading provider of comprehensive human resources solutions for small to midsize businesses (SMBs). We enhance business productivity by enabling our clients to outsource their HR function to one strategic partner and allowing them to focus on operating and growing their core businesses. Our full-service HR solutions include features such as payroll processing, human capital consulting, employment law compliance and employee benefits, including health insurance, retirement plans and workers’ compensation insurance.TriNet has a nationwide presence and an experienced executive team. Our stock is publicly traded on the NYSE under the ticker symbol TNET. If you’re passionate about innovation and making an impact on the large SMB market, come join us as we power our clients’ business success with extraordinary HR.Don't meet every single requirement? Studies have shown that women and people of color are less likely to apply to jobs unless they meet every single requirement. At TriNet, we are dedicated to building a diverse, inclusive and authentic workplace, so if you're excited about this role but your past experience doesn't align perfectly with every single qualification in the job description, we encourage you to apply anyways. You may just be the right candidate for this or other roles.Qualifications - ExternalJOB SUMMARY/OVERVIEW The Analyst applies knowledge of finance, accounting, and insurance strategies to provide business and financial advice to TriNet's senior management team through various analysis functions. The position is responsible for preparing financial reports and analyses (including budgets and forecasts) for Insurance Services, Financial Planning & Analysis and Accounting and serves as liaison to assist them with all their financial needs. The position provides support to other finance-related functions, such as the month-end close process.Essential Duties/ResponsibilitiesSupport Insurance Services Management in the preparation and delivery of monthly actuarial and analytics data Evaluate data integrity and resolve discrepancies Prepare data reconciliations evidencing SOX compliance Produce assigned revenue forecasts and incorporate understanding of fluid carrier landscape and historical insights into forecast assumptions Identify and incorporate renewal actions into models and forecasts Maintain vendor relationships to assist with data interpretation and resolution to data integrity issues Responsible for compiling analysis reports, presentations, and other material in order to provide a robust analysis explaining drivers of revenue and variance to forecast Assist in automation of repetitive data aggregation/manipulation tasks to enable greater focus on value-add analysis Cross train as back-up for staff in case of emergencies Support management by completing ad hoc analysis and projectsEducationJOB REQUIREMENTS AND QUALIFICATIONS BA/BS in Statistics, Actuarial Science, Math, Economics, Accounting, or related field preferred, or equivalent combination of education and experience  ExperienceTraining Requirements (licenses, programs, or certificates): 2+ years analytical experience preferred Experience and understanding of working in an insurance environment preferred but not required  Experience with business intelligence reporting tools is preferred Other Knowledge, Skills And AbilitiesStrong analytical, qualitative and quantitative skills Attention to detail and ability to distinguish materially important variances in data  Analytical approach, ability to independently identify and communicate relevant information Self-starter willing to identify problems and proactively work to identify solutions Strong financial analytical skills required, basic accounting knowledge Ability to work cross functionally with different departments in different time zones as well as with third party partners A demonstrated commitment to high professional ethical standards and a diverse workplace Ability to adapt quickly and learn new tasks independently Ability to handle competing priorities while meeting deadlines Excellent written and verbal communication skills required with ability to explain complex financial data Excellent problem-solving skills required with ability to apply analytical skills to business High level of organization, integrity, accuracy, and precision Advanced knowledge of Microsoft Excel and Proficient in Microsoft Office SuiteWORK ENVIRONMENT/OTHER INFORMATION (Travel required, physical requirements, on-call schedules, etc.)Minimal travel may be required Work in clean, pleasant, and comfortable office setting The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. This position may be performed remotely anywhere within the United States, except the role may not be performed in Colorado, Jersey City, NJ, or New York, NY.As an applicant seeking to work in the state of California; city of Cincinnati; the state of Washington; Toledo, Ohio; state of Nevada; state of Connecticut; state of Maryland; or state of Rhode Island you are entitled to information about the salary range for this role. Please contact recruiting@trinet.com for further information.Please Note: TriNet reserves the right to change or modify job duties and assignments at any time. The above job description is not all encompassing. Position functions and qualifications may vary depending on business necessity.TriNet is an Equal Opportunity Employer and does not discriminate against applicants based on race, religion, color, disability, medical condition, legally protected genetic information, national origin, gender, sexual orientation, marital status, gender identity or expression, sex (including pregnancy, childbirth or related medical conditions), age, veteran status or other legally protected characteristics. Any applicant with a mental or physical disability who requires an accommodation during the application process should contact recruiting@trinet.com to request such an accommodation.",United States,remote,Full-time,Not Applicable,Information Technology,"IT Services and IT Consulting, Software Development, and Human Resources Services",,11/11/2022,https://www.linkedin.com/jobs/view/data-analyst-at-trinet-3355174317?refId=hfYgJpWhu58%2B2pApOtLcBQ%3D%3D&trackingId=vb1s8cuJXMTkcP7bM81sSQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Sage Solutions Group,"Our client is looking for a Data Analyst to support their industry-leading organization. Responsibilities:Identify trends and opportunities for growth through analysis of complex datasetsCreate best-practice reports based on data mining, analysis, and visualizationCreate best-practice Dashboards in TableauWork directly with the CEO, COO & Dashboard Committee to gather requirements, provide status updates, and build relationshipsPreferred skills and qualifications:Bachelor’s degree (or equivalent) in mathematics, computer science, economics, or statisticsFive or more years of experience mining dataProven analytics skills, including mining, evaluation, and visualizationPractical experience in statistical analysis through the use of statistical packages, including Excel, SPSS, Tableau, and SASTechnical writing experience in relevant areas, including queries, reports, and presentationsPerks:Competitive Salary 401(k)401(k) matchingDental insuranceHealth insuranceHealth savings accountLife insurancePaid time offVision insurance","Michigan, United States",remote,Full-time,Mid-Senior level,Information Technology,"Government Relations Services, Computer and Network Security, and Utilities",,11/11/2022,https://www.linkedin.com/jobs/view/data-analyst-at-sage-solutions-group-3356338867?refId=AfUKR38NiVVOgMsjgIgi2w%3D%3D&trackingId=JvIHUaDyJPemkrmNyzJLcQ%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Clarkston Consulting,"Do you want the opportunity to leverage your skills to make a direct impact on the world's leading life sciences, consumer products, and retail companies? Join Clarkston Consulting as a Data Analyst to help deliver innovative business solutions to our market leading clients as a part of an expert team. We are looking for motivated, self-driven leaders who are energized by team results and interested in joining a firm that values its culture and people as its biggest strengths. Together, we can help find the answers to our clients most challenging business problems.  What You'll Do  Transform, model, and visualize data to deliver insights and recommend actions to client teams Uncover meaning in large amounts of data Interpret and articulate results of analysis with clients, often visually  How You'll Grow  At Clarkston, we feel that we provide the greatest value to our clients through a combination of our industry expertise, business process knowledge, and consulting excellence.  Beyond your day-to-day responsibilities, throughout your career as a Data Analyst you will:    Have the support and mentorship of your Clarkston colleagues and leaders Own your career - you'll be able to take charge of your career journey with diverse opportunities to lead and expand your skill set both at the client site and within the firm Have the opportunity to make a real and positive impact not only the clients you work with, but on the firm as well Requirements:What We're Looking ForAn ideal candidate as a Data Analyst should have the following qualifications and experience: 3-5 years Data Analyst experience Applying strong knowledge of business processes to identify business issues and opportunities - experience in functional areas across supply chain or sales and marketing a plus Assisting with working sessions to understand business challenges, create hypotheses, collect relevant data, and analyze the data to prove or disprove those hypotheses Using complex expressions to calculate, group, filter, parameterize, optimize, and format data Managing and overseeing the design and development of customized reports and outputs, utilizing visualization tools like Power BI and Tableau Building statistical and machine learning models for predictive analytics Identifying anomalies in data and their business cause and effect Monitoring trends and key performance metrics to drive business goals Conducting knowledge transfer and training of end-users, including sharing best practices  Communicating with the various audiences for consuming insights and tailoring approach to those groups (executive, analyst, information consumer) Use of various data sources, including relational databases, data warehouses, and interfaces and APIs  Minimum degree required: Bachelor's from an accredited college or university Benefits:Our benefits include:   Comprehensive Health and Wellness Benefits (Medical, Dental, Vision, and more)  401k with company contributions  Paid vacation, personal days, holidays, and sick leave  Paid Parental Leave  Life and Disability Insurance  Company Equity or Stock Options  Training and Professional Development investments  Visit Careers at Clarkston to learn more about our culture, benefits, and opportunities. We hope you'll join us!Travel StatementTravel is an integral part of this role and is estimated to average 30-50% and may vary based upon client and project needs. While travel is a requirement of the role, due to COVID-19 restrictions, all non-essential travel has been limited and any on-site requests are subject to review.COVID-19 Vaccination StatementWhile Clarkston Consulting has not mandated vaccination at this time, COVID-19 vaccinations are required in order to access Clarkston Consulting facilities and those of many of our clients. With this in mind, all prospective hires will be required to provide their vaccination status.","Atlanta, GA",remote,Full-time,Entry level,Information Technology,Business Consulting and Services,,11/11/2022,https://www.linkedin.com/jobs/view/data-analyst-at-clarkston-consulting-3356435340?refId=sZjuIE2CFaMinVMiFEjf%2Fw%3D%3D&trackingId=h3dM3%2BHzjsZRTpl2uN9i0w%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Omron Automation,"Work at OMRON!OMRON is a global leader in the field of automation, an $8 billion global technology company celebrating more than 80 years of success. OMRON’s business fields cover a broad spectrum, ranging from industrial automation and electronic components to social systems and healthcare. OMRON Management Center of America, Inc. is the regional headquarters for OMRON in the Americas.Omron Automation is looking for an energetic and focused Data Analyst. This position is 75% remote and 25% in Hoffman Estates, IL. This position is responsible for collecting, organizing, and sharing data on sales, marketing, product, supply chain and more.*This position data analytics or data science for statistical reporting for sales and marketing teams. The candidate will bring technical expertise to ensure the quality and accuracy of that data, then design reports and visualization tools to present the information in ways to help the staff and leaders of the organization make better decisions.Our Commitment to Employees:Training and Career Development Program to give employees a learning path with the necessary tools and resources they need to help build their career at Omron.Great financial opportunities with competitive compensation, immediate 401k match with 100% vesting, profit sharing, and Blue Cross Blue Shield for medical, dental, vision and prescription drug benefits.Community Awareness that includes activities with local non-profit organizations and a Matching Gift Program.Work-Life Balance with Flexible Work Arrangements, Flexible Work Hours, and Sick/Vacation/Holiday Pay.Wellness Activities such as Walking Contests, Nutritional Learning Sessions, On Site Flu shots and Health Screenings.RESPONSIBILITIES: Interpret data, analyze results using statistical techniques to support sales, marketing, and business operations.Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality.Acquire data from multiple sources and maintain databases/data systems.Identify, analyze, and interpret trends or patterns in complex data sets.Work with management to prioritize business and information needs to develop automated and ad hoc reports in Cognos, and Power BI.Leverage and mine for data from multiple data sources to gain market intelligence and evaluate sales opportunities.Collect requirements to design reports and custom analytic tools to meet business objectives.Participate in discussions with business stakeholders and IT specialists to understand complexities in the data and prioritize projects. Requirements: BS in Mathematics, Economics, Computer Science, Information Management or Statistics4 – 6 years’ experience as a Data Analyst supporting sales, distributor activities, business and/or marketing required.Industrial automation industry experience highly preferred.Excellent computer skills required, MS Office experience a must; especially Excel, PowerPoint and Word.Cognos, Power BI, JD Edwards, Oracle CRM, and Salesforce.com experience preferred but not required.Technical expertise regarding data models, database design development, data mining and segmentation techniques.Strong knowledge of and experience with databases (SQL etc.), and programming (R language, Shiny, XML, JavaScript, or ETL frameworks).Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS etc.)  Don’t meet every single requirement? Studies have shown that women and people of color are less likely to apply to jobs unless they meet every single qualification. At Omron we are dedicated to building a diverse, inclusive and authentic workplace, so if you’re excited about this role but your past experience doesn’t align perfectly with every qualification in the job description, we encourage you to apply anyways. You may be just the right candidate for this or other roles.Omron is an Equal Opportunity Employer. We provide equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, we comply with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.","Hoffman Estates, IL",hybrid,Full-time,Associate,"Analyst, Information Technology, and Marketing","Appliances, Electrical, and Electronics Manufacturing and Automation Machinery Manufacturing",,11/11/2022,https://www.linkedin.com/jobs/view/data-analyst-at-omron-automation-3332796439?refId=z2FZBrJwDIv1hNhxpjn5fg%3D%3D&trackingId=W0rhSGOjWC25ZJlqJLXmjQ%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
Junior Data Analyst,TalentBridge,"Job DescriptionWe are currently recruiting for an exciting opportunity in the North Charlotte area. This role will be a dynamic opportunity for an entry level employee to learn the ins and outs of the quality assurance role and join a growing QA team. The QA team manages and maintains data to ensure that all the data is consuming and storing accurately and produces reliable results. The Junior Data Analyst will work collaboratively across multiple departments within the company including Data Acquisition, IT and Legal.ResponsibilitiesYou will be responsible for working directly with the QA team to implement processes and quality control tasks that we use to measure data quality. The ideal candidate will have strong analytical skills and excellent attention to detail. This is an entry level position, but an ideal candidate will have an interest in developing technical skills including: navigating multiple database systems, creating scripts, and learning to use and follow software quality assurance methodologies with internal tools and procedures.Desired SkillsAbility to analyze data sets for trends, and patternsStrong logical reasoning skillsSQL preferredAbility to triage and troubleshoot data consumption and data quality problemsBe self-motivated and able to work independently and in a team environmentExpert in spreadsheet generation and manipulationAbility to analyze data sets, trends, and patternsProfessional and positive demeanorWillingness to learn new technologiesSalary: $40,000.00 to $50,000.00 /year","Huntersville, NC",hybrid,Full-time,Mid-Senior level,Information Technology,Staffing and Recruiting,,11/11/2022,https://www.linkedin.com/jobs/view/junior-data-analyst-at-talentbridge-3349136179?refId=NJIdipplhIxbwKSgCe6N9g%3D%3D&trackingId=Wd6SqM48r9P5RgqOAqy%2FeQ%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst (Remote),Lightcast,"Stop Scrolling!! You've just found the Data Analyst role you've been looking for!At Lightcast we are rapidly growing and fiercely dedicated to serving our clients while still having fun and celebrating our successes.Lightcast is a global leader in labor market insights with headquarters in Moscow (ID) and Boston (MA) and offices in the United Kingdom, Europe, New Zealand and India. We work with partners across six continents to help drive economic prosperity by solving a variety of problems in three key sectors~ education, community, and corporate.A Data Analyst on the Taxonomy team at Lightcast is responsible for evaluating and improving the coverage and quality of our taxonomies and models. The analyst’s day to day work primarily consists of performing root cause analysis, developing decision-making criteria, ensuring data quality assurance, and executing solutions for data ambiguity. The Taxonomy team ensures that these taxonomies are fit-for-purpose, up-to-date, and accurately reflect the complexity of the job market.The ideal candidate will possess strong quantitative research skills and will have a passion for seeing patterns in data, then extracting those patterns to inform the development of our taxonomies and our data products.What you'll be doing~Interpretation and classification of natural language elements (e.g. job titles, job postings, and company names)Executing root cause analysisRapid and consistent decision makingDevelopment of decision-making criteria and processesEstablishing and adhering to data quality assurance processesPerforming research regarding taxonomic improvements and use case opportunitiesCommunicating complex data realities / problems to teammates, engineers, and stakeholdersResponding to customer feedback and questions about the datasetWhat you’ll need~Competent use of data extraction languages such as SQL, Elasticsearch, KQL, SPARQLWorking ability to perform ETL and apply data mining techniques on large data sets using Python, R, Excel, or a preferred toolProduct road mapping and project scopingAttention to detailExcellent research skillsHigh English reading comprehensionCommunication, teamwork, and decision-making skillsComfortable working in a structured and disciplined manner as part of a technical organization2-3 years of experience maintaining and developing proprietary or government taxonomies for a variety of data typesBachelor's degree in Data Analytics, Information Systems, Computer Science, Mathematics, or related technical field, advanced degree or equivalent practical experienceThese skills will be preferred (but not necessary to apply)~Proficiency with data extraction languages such as SQL, Elasticsearch, KQL, SPARQLWorking ability to perform advanced analytics, ETL, and data mining techniques on large data sets using Python, R, Excel, or a preferred toolExperience with agile project management and issue tracking softwares such as Jira, Wrike, or AsanaExperience with data visualization tools such as Kibana, Looker, and TableauTheoretical understanding of the methods and purposes of text analysis, natural language processing, and machine learningSome of the perks our team members enjoy~You’ll be a valued member of a supportive and talented teamCareer Development OpportunitiesCompetitive payHealth Insurance (Effective on day one!!)Dental and Vision Plans401k with match (Immediately vested!)Generous PTO (We have the entire week between Christmas Eve and New Year's off as one Holiday!!)Life Insurance OptionsFlexible Work ScheduleOur Core ValuesLive the MissionInnovate Inside and OutGive Customers the UnexpectedHide Nothing; Own EverythingTeamwork makes the Data WorkPhysical Requirements~ The physical demands described here are representative of those that must be met to successfully perform the essential functions of this job.While performing the duties of this job, the employee is regularly required to, stand, sit, talk, hear, and use hands and fingers to operate a computer, a telephone, and keyboard reach.Specific vision abilities required by this job include close vision requirements due to the computer work.Light to moderate lifting is required.Regular, predictable attendance is required.The work environment characteristics described are what is encountered while performing the essential functions of this job.Moderate noise (i.e., business office with computers, phones, printers, light traffic).Ability to work in confined areas.Ability to sit at a computer terminal for an extended period.Reasonable accommodations may be made to enable individuals with disability to perform the essential functions.Lightcast is proud to be an equal opportunity workplace and is committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. Lightcast has always been, and always will be, committed to diversity, equity, and inclusion. We seek dynamic professionals from all backgrounds to join our team, and we encourage our employees to bring their authentic, original, and best selves to work.#LIRemote","Home, MI",remote,Full-time,Entry level,Information Technology,Information Services,,11/11/2022,https://www.linkedin.com/jobs/view/data-analyst-remote-at-lightcast-3347064342?refId=sZjuIE2CFaMinVMiFEjf%2Fw%3D%3D&trackingId=c6wKvBBBo77H7mEwKPcdgQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Russell Tobin,"• Track social media campaign performance across multiple ABC brands and social media platforms.• Prepare reports that translate content performance into actionable insights to inform and optimize future marketing efforts.Qualifications:• Experience tracking owned, paid, and competitive performance using leading social measurement tools (e.g. ListenFirst, Shareablee, Sprinklr) and native analytics offerings (e.g. Meta Business Suite, Twitter Analytics, YouTube Studio).• Proficiency in Excel, PowerPoint, and other MS Office applications.The company requires on-site workers to be fully vaccinated absent a legally required exemption approved by the vendor. Exceptions to the vendor vaccine requirement apply in states that have laws concerning employer vaccine mandates. Vendor must ensure that any unvaccinated workers follow applicable safety protocols when they are on-site. Specifically, for any of their workers who are not verified as fully vaccinated, it is the vendor's responsibility to ensure that at all times when performing services on-site at a location or property, those individuals, at a minimum, will wear a disposable face mask certified by ASTM International with an ASTM Level 1 or higher rating (to be changed every day). If the individuals regularly work within three feet of others, the vendor must also implement a secondary mitigation measure such as a face shield or safety glasses. Please note that workers may only remove the face mask if the worker is alone in an office with the door shut, or the worker is six feet of distance from others and actively eating or drinking. Additional safety protocols may be required, as determined in the sole discretion of The Company or its affiliates. If requested, the vendor must inform its contact of any safety protocols the vendor has implemented for any of its workers while on-site at a location or property. Basic Qualifications: Please note that this is a research / analytics function, not a marketing / creative one and that prior experience with social media analytics and reporting is required.Preferred Qualifications Qualifications:• Experience tracking owned, paid, and competitive performance using leading social measurement tools (e.g. ListenFirst, Shareablee, Sprinklr) and native analytics offerings (e.g. Meta Business Suite, Twitter Analytics, YouTube Studio).• Proficiency in Excel, PowerPoint, and other MS Office applications.Required Education: BA/BS Degree","Burbank, CA",hybrid,Contract,Associate,"Marketing, Public Relations, and Writing/Editing",Staffing and Recruiting,"$35.00
            -
            $37.00",11/11/2022,https://www.linkedin.com/jobs/view/data-analyst-at-russell-tobin-3349136763?refId=8AL02sZHqq3Vwfsg0QrJWg%3D%3D&trackingId=U4YsWSJD9A2szosdUqDy2w%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst (Global Remote),Passion.io,"PASSION.io is building the future of the Creator economy. Our mission is to empower Creators to unlock the power of their passion and make an impact on their audiences. We are building a SaaS platform that enables Creators to seamlessly build their own mobile apps with their own branded content. The Passion.io platform provides Creators with the tools and features needed to run their business from anywhere at any time from their mobile phone. We are an international remote team with the majority of our customers residing in the US.We are looking for a passionate and experienced Data Analyst to join our team! If you are someone whose goal is to extract value from data by uncovering useful information and enabling data-driven business decision-making we would love to meet you!This is an exciting career move for someone with first experience in a global management consulting firm since you will report to our VP Finance and work closely with our CEO. You will be our first Data hire with the potential to grow into the Head of Data position.RequirementsWhat you'll bring to the teamYou are innately curious, empathetic, analytical, and a fast learnerYou love being able to take the science of Data to actively contribute to the decision making process in Customer Success, Product, and Marketing.You are driven by curiosity and enthusiasm for learning new technologies and skills to turn data into value-creating insights to propel retention and lifetime value in SaaSYou thrive on discovering “aha moments” and gaining deep understanding of what drives leading metrics and KPIsYou are keen to validate current assumptions and hypothesis, as well as have the confidence to question them based on findings you uncoverFluent in English.What You'll Be Working OnThe ideal candidate is able to translate business questions into an analysis, write SQL queries to pull the required data, and apply the appropriate mathematical rigor to extract a meaningful answer to the questionYou will assume ownership of our data infrastructure and processes, and make improvements where appropriate as we build a best-in-class data organizationYou will engage with Customer Success, Product, and Marketing teams to build dashboards and reports that monitor KPIs and metricsYou will provide data that is accessible and updates in real-timeYou will become a master of retention/churn drivers and insightsBenefitsWhat we offer you.Steep learning curve: Expect the steepest learning curve you have ever experienced - we are building a playground at passion.io to become the best version of ourselves. Meet and work with successful people worldwide to learn their success secrets.Values-based company: Be part of an open, honest, creative, and results-driven environment where your opinion is highly valued. We want to change the world for the better by providing value to others.High-growth environment: You will be part of a strongly growing company, with the opportunity to develop into a key contributor with crucial responsibilities.Personal and professional development: You will tackle projects across departments and thereby gain an invaluable tool box for successfully tackling bigger and bigger challenges.Autonomy / entrepreneurial work-style: You will only be measured by the results you produce and are in the driver’s seat, with full flexibility.Remoteness and flexibility: You will join our truly international remote team from over 20 countries and work from anywhere you wish. Growth: We reward top performers with promotions and space to grow into higher positions. Want to know what it's like to work at Passion.io?Check out this Video: https://youtu.be/v_Aiv78eGvQ","Ontario, CA",remote,Full-time,Not Applicable,Information Technology,"Technology, Information and Internet",,14/11/2022,https://www.linkedin.com/jobs/view/data-analyst-global-remote-at-passion-io-3360362633?refId=sZjuIE2CFaMinVMiFEjf%2Fw%3D%3D&trackingId=XLxe03iwjftyKKWqjt3FSA%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst - Weekly Hybrid Remote/Onsite Schedule,SYSTEMTEC,"Data Analyst – Direct Hire – Weekly Hybrid remote/onsite in Columbia, SC - 14418SYSTEMTEC is assisting our client in filling a Direct Hire/ FTE position in Columbia, SC. This is a Data Analyst position who will join an Enterprise Data Warehouse team.*** US Citizens Only. No Third Parties OR Sponsorships at this time***Virtual/work from home? 2-3 days onsite/week in Columbia. Responsibilities of the Data Analyst: Serve as member on Data Warehouse Team and provide technical data analysis (ETL) for current and new implementations.Analyze data using statistical techniques and gather data from primary and secondary sourcesMaintain SQL Server database (DataHub)Use SAP Designer for ETL processesRequirements of the Data Analyst:2-3 years of ETL experience2-3 years of MS SQL experienceCompensation/Benefits:This is a great opportunity for candidates looking for their next home with a great company culture and competitive benefits package!Skip the application process and contact the Recruiter today: (803) 806-8100, x125","Columbia, South Carolina Metropolitan Area",hybrid,Contract,Mid-Senior level,Information Technology,IT Services and IT Consulting,,14/11/2022,https://www.linkedin.com/jobs/view/data-analyst-weekly-hybrid-remote-onsite-schedule-at-systemtec-3352935636?refId=Ky4jC0cuJPhJphngkJkcXA%3D%3D&trackingId=Gw5NfhpCrEhrMrCS1S4bTQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Insight Global,"Overview - Minimum 5 years in a quantitative data analytics role with emphasis on data preparation, deep-dive data analysis (business facing) and presentation- Experience working with databases, SQL and at least one programming language such as Python, along with statistical and mathematical algorithms to help build models- Strong communication skills- Bachelor's Degree in Computer Science, Information Systems, Mathematics, Economics, Advanced Analytics or other related fields as well as equivalent work experience- Previous experience mentoring and leading other data scientists/analysts Nice to Have - Previous work experience in the Heathcare industry Day-to-Day A client in Burbank is looking for a Senior Data Analyst to join their Advanced Analytics team (agile). This role will lead the effort in translating data into actionable insights that yields business value, working closely with business stakeholders to answer business questions by preparing and modeling data to perform analyses with the objective of understanding data and helping drive decisions. This person will be expected to: develop advanced reports and dashboards to support self-service analytics across business units, work closely with the data engineers and data scientists, build data sets that can be used to create predictive models, and mentor junior analysts with hypothesis creation and validation using statistical and mathematical algorithms. This person should have previous experience with analysis in understanding data to maximize revenue cost and expenses and have worked in supply chain, ecommerce, growth, marketing analyst, finance, FPNA -- pure analysis as opposed to data wrangling and business intelligence.","Burbank, CA",hybrid,Full-time,Mid-Senior level,Information Technology,Entertainment Providers and Hospitals and Health Care,"$130,000.00
            -
            $150,000.00",14/11/2022,https://www.linkedin.com/jobs/view/data-analyst-at-insight-global-3353600433?refId=z2FZBrJwDIv1hNhxpjn5fg%3D%3D&trackingId=chf3XUR51yK7E6HAMbncTQ%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
Junior Data Analyst,Insight Global,"Must Haves: 1-2 years of Data Analyst experience, preferably in an enterprise environmentSQL experienceExcel experienceDeveloped communication skills, both written and verbal as well as Detail-oriented and analytical Ability to use data to confidently make decisions Plusses:Digital video skills (can teach) Investigation experience  Position Summary/Job Description: On the Enterprise Fraud Prevention team, you will have the opportunity to be a part of a team that really enjoys coming to work! This is a great opportunity for thoseinterested in fraud, investigations, or law enforcement. In this role, you willuse digital tools to investigate and prevent fraud attempted against anenterprise company. Curious individuals with a passion for problem-solving andpuzzles will do well in this role! · Retrieve and analyze data in relation to fraud investigations · Reviewing transaction data for potential fraud · Assist with ongoing investigations","Richfield, MN",hybrid,Full-time,Entry level,Analyst,IT Services and IT Consulting,"$22.00
            -
            $24.00",14/11/2022,https://www.linkedin.com/jobs/view/junior-data-analyst-at-insight-global-3353623877?refId=x4SraviXXEq66S%2FaFgArkg%3D%3D&trackingId=0LmhFVO2KpA5hxBUFk9OAg%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
